STATION,entries_daily
116 ST-COLUMBIA,3786.8174603174602
TREMONT AV,3749.809523809524
HUNTS POINT AV,3708.5476190476193
110 ST,3702.15873015873
HOYT-SCHER,3668.785714285714
21 ST-QNSBRIDGE,3662.0555555555557
HOUSTON ST,3660.9206349206347
CANARSIE-ROCKAW,3598.294117647059
INWOOD-207 ST,3554.373015873016
LORIMER ST,3550.6825396825398
RECTOR ST,3547.063492063492
BROADWAY JCT,3545.722222222222
CLINTON-WASH AV,3516.190476190476
YORK ST,3474.9285714285716
JFK JAMAICA CT1,3371.5793650793653
53 ST,3368.531746031746
NORWOOD 205 ST,3365.2301587301586
NEVINS ST,3356.309523809524
5 AVE,3328.968253968254
ST. GEORGE,3292.531746031746
ELMHURST AV,3280.2063492063494
NEWKIRK PLAZA,3238.34126984127
SIMPSON ST,3232.5079365079364
GREENPOINT AV,3229.9285714285716
CARROLL ST,3227.753968253968
MOSHOLU PKWY,3192.6825396825398
81 ST-MUSEUM,3182.095238095238
WTC-CORTLANDT,3126.9444444444443
157 ST,3123.34126984127
40 ST LOWERY ST,3045.6349206349205
NASSAU AV,3030.0714285714284
231 ST,3016.5873015873017
PRINCE ST,3015.8015873015875
E 180 ST,2964.6031746031745
20 AV,2945.1190476190477
NEWKIRK AV,2818.468253968254
BEDFORD-NOSTRAN,2765.746031746032
CENTRAL PK N110,2736.65873015873
4AV-9 ST,2729.1507936507937
OZONE PK LEFFRT,2690.4444444444443
ROCKAWAY BLVD,2651.6746031746034
PROSPECT PARK,2651.1984126984125
3 AV 138 ST,2650.1507936507937
33 ST-RAWSON ST,2646.936507936508
45 ST,2645.15873015873
SUTTER AV-RUTLD,2640.1111111111113
ELDER AV,2634.5714285714284
67 AV,2625.4841269841268
169 ST,2622.190476190476
46 ST,2617.277777777778
BAY RIDGE AV,2615.4841269841268
WEST FARMS SQ,2608.5476190476193
PELHAM BAY PARK,2587.2936507936506
LACKAWANNA,2580.690476190476
WINTHROP ST,2569.7063492063494
14TH STREET,2567.531746031746
MORISN AV/SNDVW,2546.0476190476193
GRAHAM AV,2498.6746031746034
GATES AV,2496.3253968253966
ASTORIA BLVD,2491.8174603174602
155 ST,2481.4206349206347
TWENTY THIRD ST,2466.7619047619046
THIRTY ST,2439.8809523809523
PARSONS BLVD,2428.9285714285716
WOODLAWN,2420.4603174603176
CASTLE HILL AV,2408.1507936507937
183 ST,2385.1984126984125
BROOK AV,2383.3650793650795
HOYT ST,2368.4841269841268
NEW LOTS AV,2349.3333333333335
HARRISON,2312.5793650793653
V.CORTLANDT PK,2292.65873015873
176 ST,2273.3333333333335
VAN SICLEN AV,2210.253968253968
GRAND ARMY PLAZ,2208.0158730158732
NORTHERN BLVD,2185.9444444444443
ROOSEVELT ISLND,2171.8333333333335
WESTCHESTER SQ,2156.6111111111113
HIGH ST,2155.9603174603176
RALPH AV,2148.6984126984125
JEFFERSON ST,2144.1984126984125
FRESH POND RD,2134.563492063492
MT EDEN AV,2134.1111111111113
207 ST,2129.4126984126983
GRANT AV,2120.563492063492
KINGSTON-THROOP,2107.5476190476193
WAKEFIELD/241,2107.5158730158732
SARATOGA AV,2100.6111111111113
UNION ST,2081.1190476190477
36 AV,2072.190476190476
ALLERTON AV,2056.126984126984
PARKSIDE AV,2049.8571428571427
MYRTLE-WILLOUGH,2047.6031746031747
52 ST,2039.2619047619048
E 149 ST,2036.452380952381
174 ST,2023.2539682539682
174-175 STS,2012.920634920635
18 ST,2011.7301587301588
MORGAN AV,2009.515873015873
BROAD ST,2008.9603174603174
MONTROSE AV,1983.8333333333333
CORTELYOU RD,1970.8333333333333
BAY RIDGE-95 ST,1963.063492063492
JACKSON AV,1958.6746031746031
9 AV,1947.7460317460318
STERLING ST,1938.4603174603174
HUNTERS PT AV,1928.7936507936508
233 ST,1913.2222222222222
KOSCIUSZKO ST,1884.8968253968253
AVENUE J,1866.0079365079366
3 AV,1847.2777777777778
FAR ROCKAWAY,1844.3809523809523
PENNSYLVANIA AV,1834.4761904761904
KNICKERBOCKER,1824.388888888889
71 ST,1823.888888888889
15 ST-PROSPECT,1821.015873015873
AVENUE M,1804.904761904762
CRESCENT ST,1790.7777777777778
CLASSON AV,1758.8095238095239
MARBLE HILL-225,1742.6984126984128
69 ST,1741.3650793650793
NEW UTRECHT AV,1735.6349206349207
FREEMAN ST,1724.063492063492
NEW LOTS,1688.126984126984
COURT SQ-23 ST,1642.2142857142858
ST LAWRENCE AV,1627.579365079365
BEVERLY RD,1627.1349206349207
NEWARK C,1623.6190476190477
CENTRAL AV,1623.563492063492
SMITH-9 ST,1615.3015873015872
KINGSTON AV,1585.936507936508
25 AV,1583.6904761904761
JAMAICA VAN WK,1580.642857142857
163 ST-AMSTERDM,1579.2063492063492
BRIARWOOD,1553.1825396825398
CLARK ST,1551.547619047619
FOREST AVE,1532.8015873015872
EASTCHSTER/DYRE,1511.7460317460318
9TH STREET,1501.8650793650793
CITY HALL,1500.063492063492
SUTPHIN BLVD,1486.4920634920634
104 ST,1437.2936507936508
NECK RD,1436.452380952381
HOWARD BCH JFK,1436.1904761904761
DITMAS AV,1428.8174603174602
WILSON AV,1422.1825396825398
238 ST,1404.2063492063492
NEWARK HW BMEBE,1390.8095238095239
85 ST-FOREST PK,1390.6984126984128
SUTTER AV,1379.7539682539682
80 ST,1379.5079365079366
75 ST-ELDERTS,1366.88
RIT-MANHATTAN,1357.7936507936508
CYPRESS AV,1345.2142857142858
EAST 105 ST,1342.3333333333333
25 ST,1312.4603174603174
FRANKLIN ST,1308.3253968253969
BAYCHESTER AV,1306.7777777777778
PARK PLACE,1298.468253968254
CHAUNCEY ST,1297.9603174603174
BUHRE AV,1297.063492063492
LIVONIA AV,1295.4285714285713
BURKE AV,1294.031746031746
RIT-ROOSEVELT,1291.2380952380952
HARLEM 148 ST,1278.8253968253969
SENECA AVE,1271.2380952380952
HEWES ST,1268.515873015873
219 ST,1264.1349206349207
NORWOOD AV,1246.3968253968253
INTERVALE AV,1245.6666666666667
NEREID AV,1244.420634920635
182-183 STS,1229.9444444444443
LAFAYETTE AV,1223.1587301587301
PRESIDENT ST,1220.031746031746
SHEPHERD AV,1215.7301587301588
4 AV-9 ST,1186.357142857143
EASTN PKWY-MUSM,1176.56
CLEVELAND ST,1173.8253968253969
BOWERY,1169.8492063492063
VAN SICLEN AVE,1155.2460317460318
65 ST,1150.7777777777778
225 ST,1123.079365079365
74 ST-BROADWAY,1122.626984126984
BEVERLEY ROAD,1096.920634920635
OCEAN PKWY,1071.9444444444443
AVENUE N,1071.2539682539682
LIBERTY AV,1034.6190476190477
AVENUE X,1029.1984126984128
AVENUE H,1007.7619047619048
JUNIUS ST,979.8888888888889
88 ST,950.9761904761905
39 AV,941.0714285714286
BRONX PARK EAST,933.9761904761905
PATH WTC 2,932.8333333333334
ALABAMA AV,928.2063492063492
BAY 50 ST,926.6349206349206
AVENUE P,924.1428571428571
BEACH 67 ST,908.515873015873
ZEREGA AV,899.8888888888889
75 AV,876.4126984126984
190 ST,867.3968253968254
BEACH 60 ST,852.0952380952381
138/GRAND CONC,848.9761904761905
55 ST,827.3809523809524
121 ST,820.2063492063492
METS-WILLETS PT,791.4206349206349
W 8 ST-AQUARIUM,790.5952380952381
WHITLOCK AV,770.031746031746
MORRIS PARK,743.2222222222222
BEACH 25 ST,705.2777777777778
BUSHWICK AV,704.2380952380952
LONGWOOD AV,686.1507936507936
MIDDLETOWN RD,678.8333333333334
ATLANTIC AV,662.9285714285714
6 AV,639.3174603174604
21 ST,591.1111111111111
215 ST,585.0873015873016
CYPRESS HILLS,577.0238095238095
NEPTUNE AV,545.9603174603175
NEWARK HM HE,508.42063492063494
AVENUE I,505.8095238095238
191 ST,481.3492063492063
E 143/ST MARY'S,455.08730158730157
BOTANIC GARDEN,442.7142857142857
BEACH 36 ST,400.64285714285717
AQUEDUCT RACETR,387.57142857142856
BEACH 90 ST,326.6746031746032
BEACH 44 ST,303.3968253968254
AQUEDUCT N.COND,288.64285714285717
ROCKAWAY PARK B,279.3888888888889
TOMPKINSVILLE,251.464
BEACH 98 ST,157.81746031746033
BROAD CHANNEL,96.39682539682539
BEACH 105 ST,74.68253968253968
ORCHARD BEACH,0.2631578947368421
