STATION,entries_daily
34 ST-PENN STA,41201.30952380953
GRD CNTRL-42 ST,33563.24603174603
23 ST,30554.0873015873
34 ST-HERALD SQ,29798.722222222223
14 ST-UNION SQ,27569.150793650795
125 ST,26392.571428571428
FULTON ST,25082.515873015873
42 ST-PORT AUTH,24971.56349206349
86 ST,24517.833333333332
TIMES SQ-42 ST,24068.76984126984
59 ST COLUMBUS,19777.9126984127
96 ST,19081.25396825397
59 ST,18271.531746031746
CANAL ST,17293.007936507936
JKSN HT-ROOSVLT,16561.738095238095
14 ST,15739.555555555555
CHAMBERS ST,14966.63492063492
FLUSHING-MAIN,14718.436507936507
ATL AV-BARCLAY,14272.912698412698
47-50 STS ROCK,13885.357142857143
PATH NEW WTC,13813.182539682539
50 ST,12788.84126984127
72 ST,12708.65873015873
28 ST,12696.666666666666
CHURCH AV,12359.944444444445
JAMAICA CENTER,12217.047619047618
145 ST,12081.97619047619
JAY ST-METROTEC,11692.142857142857
W 4 ST-WASH SQ,11666.97619047619
116 ST,11208.79365079365
42 ST-BRYANT PK,10764.52380952381
7 AV,10475.86507936508
WALL ST,10415.166666666666
CROWN HTS-UTICA,9873.42857142857
103 ST,9813.34126984127
LEXINGTON AV/53,9395.611111111111
BOROUGH HALL,9290.507936507936
KINGS HWY,9290.222222222223
72 ST-2 AVE,9258.86507936508
57 ST-7 AV,9229.222222222223
77 ST,9162.611111111111
DELANCEY/ESSEX,9141.666666666666
DEKALB AV,8999.269841269841
8 AV,8927.333333333334
FORDHAM RD,8451.325396825398
JOURNAL SQUARE,8149.896825396825
SUTPHIN-ARCHER,8140.730158730159
GRAND ST,8138.587301587301
FOREST HILLS 71,8120.730158730159
WOODHAVEN BLVD,8041.880952380952
168 ST,7995.992063492064
JUNCTION BLVD,7873.103174603175
3 AV-149 ST,7781.055555555556
103 ST-CORONA,7716.428571428572
KEW GARDENS,7662.412698412699
181 ST,7547.158730158731
111 ST,7538.460317460317
161/YANKEE STAD,7502.920634920635
33 ST,7491.18253968254
86 ST-2 AVE,7335.9682539682535
BOWLING GREEN,7253.761904761905
NOSTRAND AV,7065.992063492064
FLATBUSH AV-B.C,6868.007936507936
JAMAICA 179 ST,6836.079365079365
135 ST,6701.857142857143
BEDFORD AV,6676.079365079365
68ST-HUNTER CO,6667.0317460317465
KINGSBRIDGE RD,6663.126984126984
MYRTLE-WYCKOFF,6639.253968253968
THIRTY THIRD ST,6440.857142857143
167 ST,6370.777777777777
SPRING ST,6218.539682539683
36 ST,6128.015873015873
90 ST-ELMHURST,6078.571428571428
B'WAY-LAFAYETTE,6064.081300813008
96 ST-2 AVE,6056.269841269841
FRANKLIN AV,6010.833333333333
79 ST,6008.547619047619
170 ST,5878.285714285715
CATHEDRAL PKWY,5850.952380952381
LEXINGTON AV/63,5675.126984126984
66 ST-LINCOLN,5674.269841269841
49 ST,5626.666666666667
GROVE STREET,5613.873015873016
UTICA AV,5581.238095238095
PARKCHESTER,5484.658730158731
5 AV/53 ST,5479.142857142857
BROADWAY,5445.619047619048
82 ST-JACKSON H,5274.873015873016
34 ST-HUDSON YD,5243.5
61 ST WOODSIDE,5123.388888888889
2 AV,5096.857142857143
FT HAMILTON PKY,5093.380952380952
ASTORIA DITMARS,5033.325396825397
BAY PKWY,5025.920634920635
GRAND-NEWTOWN,5009.849206349207
51 ST,4990.666666666667
149/GRAND CONC,4975.277777777777
BROOKLYN BRIDGE,4946.293650793651
MARCY AV,4918.539682539683
CONEY IS-STILLW,4846.515873015873
18 AV,4819.246031746032
DYCKMAN ST,4790.571428571428
63 DR-REGO PARK,4789.142857142857
1 AV,4723.055555555556
NEWARK BM BW,4679.722222222223
QUEENSBORO PLZ,4666.722222222223
HALSEY ST,4642.611111111111
137 ST CITY COL,4588.8650793650795
BERGEN ST,4547.150793650793
VERNON-JACKSON,4546.119047619048
PROSPECT AV,4508.880952380952
FLUSHING AV,4466.746031746032
BEDFORD PK BLVD,4447.992063492064
ASTOR PL,4443.007936507936
CORTLANDT ST,4439.738095238095
8 ST-NYU,4431.666666666667
STEINWAY ST,4411.253968253968
COURT SQ,4399.579365079365
30 AV,4374.976190476191
SHEEPSHEAD BAY,4345.3015873015875
EAST BROADWAY,4341.9682539682535
WHITEHALL S-FRY,4299.1984126984125
MYRTLE AV,4271.9682539682535
46 ST BLISS ST,4265.809523809524
PELHAM PKWY,4248.547619047619
BLEECKER ST,4245.333333333333
AVENUE U,4238.579365079365
EUCLID AV,4224.746031746032
CITY / BUS,4184.81746031746
QUEENS PLAZA,4149.928571428572
PAVONIA/NEWPORT,4146.4047619047615
WORLD TRADE CTR,4124.642857142857
57 ST,4116.0
ROCKAWAY AV,4108.944444444444
METROPOLITAN AV,4102.349206349207
CHRISTOPHER ST,4082.1190476190477
175 ST,4069.1984126984125
BURNSIDE AV,4017.6349206349205
SOUTH FERRY,4009.8174603174602
EXCHANGE PLACE,3991.4761904761904
BRIGHTON BEACH,3991.3333333333335
GUN HILL RD,3870.3333333333335
5 AV/59 ST,3862.6666666666665
