date,exits_daily
2020-02-01,151992
2020-02-02,91754
2020-02-03,395190
2020-02-04,414552
2020-02-05,411248
2020-02-06,416749
2020-02-07,385195
2020-02-08,165790
2020-02-09,87237
2020-02-10,401347
2020-02-11,415791
2020-02-12,414826
2020-02-13,420423
2020-02-14,364743
2020-02-15,147002
2020-02-16,104449
2020-02-17,156043
2020-02-18,410161
2020-02-19,410406
2020-02-20,413570
2020-02-21,380464
2020-02-22,147956
2020-02-23,99010
2020-02-24,403002
2020-02-25,422560
2020-02-26,416622
2020-02-27,419383
2020-02-28,370278
2020-02-29,139067
2020-03-01,88351
2020-03-02,379775
2020-03-03,388262
2020-03-04,384382
2020-03-05,375215
2020-03-06,328949
2020-03-07,113388
2020-03-08,74791
2020-03-09,301547
2020-03-10,292011
2020-03-11,268192
2020-03-12,231820
2020-03-13,184605
2020-03-14,58187
2020-03-15,37006
2020-03-16,118572
2020-03-17,54031
2020-03-18,48085
2020-03-19,45915
2020-03-20,42461
2020-03-21,18793
2020-03-22,12737
2020-03-23,34933
2020-03-24,32117
2020-03-25,32625
2020-03-26,31601
2020-03-27,31142
2020-03-28,12389
2020-03-29,9453
2020-03-30,29584
2020-03-31,28877
2020-04-01,29895
2020-04-02,28649
2020-04-03,28965
2020-04-04,11430
2020-04-05,7835
2020-04-06,24909
2020-04-07,26378
2020-04-08,25507
2020-04-09,24688
2020-04-10,24401
2020-04-11,11292
2020-04-12,7582
2020-04-13,24271
2020-04-14,23871
2020-04-15,24498
2020-04-16,23779
2020-04-17,24006
2020-04-18,11249
2020-04-19,8205
2020-04-20,22997
2020-04-21,23277
2020-04-22,24205
2020-04-23,24089
2020-04-24,24530
2020-04-25,11895
2020-04-26,8763
2020-04-27,24209
2020-04-28,25007
2020-04-29,25302
2020-04-30,25687
2020-05-01,27074
2020-05-02,13163
2020-05-03,9963
2020-05-04,27070
2020-05-05,27562
2020-05-06,27768
2020-05-07,28113
2020-05-08,28220
2020-05-09,13679
2020-05-10,10221
2020-05-11,27407
2020-05-12,28172
2020-05-13,29119
2020-05-14,28966
2020-05-15,30170
2020-05-16,14484
2020-05-17,9980
2020-05-18,29555
2020-05-19,30978
2020-05-20,31271
2020-05-21,31384
2020-05-22,31376
2020-05-23,15186
2020-05-24,11720
2020-05-25,13133
2020-05-26,32527
2020-05-27,33004
2020-05-28,33681
2020-05-29,34152
2020-05-30,15568
2020-05-31,11924
2020-06-01,32142
2020-06-02,32711
2020-06-03,37911
2020-06-04,34725
2020-06-05,35404
2020-06-06,18021
2020-06-07,13339
2020-06-08,37361
2020-06-09,38406
2020-06-10,39235
2020-06-11,39676
2020-06-12,39177
2020-06-13,21186
2020-06-14,15364
2020-06-15,41832
2020-06-16,43515
2020-06-17,44268
2020-06-18,44528
2020-06-19,47163
2020-06-20,22908
2020-06-21,16413
2020-06-22,43671
2020-06-23,45289
2020-06-24,45321
2020-06-25,45045
2020-06-26,44990
2020-06-27,22997
2020-06-28,17640
2020-06-29,43863
2020-06-30,45628
2020-07-01,47183
2020-07-02,46451
2020-07-03,32725
2020-07-04,18568
2020-07-05,17169
2020-07-06,43928
2020-07-07,47220
2020-07-08,47232
2020-07-09,46946
2020-07-10,45973
2020-07-11,23874
2020-07-12,17777
2020-07-13,45336
2020-07-14,46264
2020-07-15,46456
2020-07-16,46021
2020-07-17,45652
2020-07-18,22612
2020-07-19,17258
2020-07-20,42089
2020-07-21,45290
2020-07-22,45712
2020-07-23,45847
2020-07-24,44300
2020-07-25,22795
2020-07-26,17192
2020-07-27,43324
2020-07-28,45102
2020-07-29,45939
2020-07-30,45913
2020-07-31,45840
2020-08-01,22900
2020-08-02,17207
2020-08-03,45133
2020-08-04,45927
2020-08-05,46412
2020-08-06,46803
2020-08-07,46043
2020-08-08,23613
2020-08-09,17984
2020-08-10,45189
2020-08-11,46290
2020-08-12,46880
2020-08-13,46770
2020-08-14,45363
2020-08-15,23421
2020-08-16,16037
2020-08-17,43937
2020-08-18,46748
2020-08-19,46369
2020-08-20,46213
2020-08-21,45511
2020-08-22,22519
2020-08-23,16493
2020-08-24,44401
2020-08-25,46292
2020-08-26,46961
2020-08-27,47335
2020-08-28,46462
2020-08-29,24373
2020-08-30,18274
2020-08-31,45399
2020-09-01,47839
2020-09-02,48442
2020-09-03,49084
2020-09-04,47854
2020-09-05,25671
2020-09-06,18653
2020-09-07,19762
2020-09-08,47604
2020-09-09,45529
2020-09-10,46907
2020-09-11,45592
2020-09-12,22695
2020-09-13,9960
2020-09-14,45744
2020-09-15,48519
2020-09-16,49926
2020-09-17,50231
2020-09-18,50036
2020-09-19,26555
2020-09-20,19259
2020-09-21,47988
2020-09-22,50240
2020-09-23,51343
2020-09-24,51174
2020-09-25,51085
2020-09-26,28242
2020-09-27,20579
2020-09-28,47673
2020-09-29,51032
2020-09-30,51754
2020-10-01,52349
2020-10-02,51497
2020-10-03,28621
2020-10-04,21309
2020-10-05,50086
2020-10-06,52126
2020-10-07,52639
2020-10-08,52685
2020-10-09,52860
2020-10-10,29692
2020-10-11,21871
2020-10-12,45029
2020-10-13,52731
2020-10-14,53138
2020-10-15,54067
2020-10-16,53412
2020-10-17,30736
2020-10-18,21609
2020-10-19,51624
2020-10-20,53785
2020-10-21,54514
2020-10-22,54513
2020-10-23,55187
2020-10-24,30724
2020-10-25,22122
2020-10-26,50927
2020-10-27,54337
2020-10-28,54806
2020-10-29,55360
2020-10-30,55705
2020-10-31,30152
2020-11-01,22698
2020-11-02,53287
2020-11-03,52036
2020-11-04,51903
2020-11-05,54561
2020-11-06,54607
2020-11-07,32083
2020-11-08,21288
2020-11-09,51850
2020-11-10,54464
2020-11-11,46593
2020-11-12,55171
2020-11-13,51592
2020-11-14,29366
2020-11-15,21465
2020-11-16,52357
2020-11-17,49265
2020-11-18,51845
2020-11-19,53044
2020-11-20,52703
2020-11-21,28092
2020-11-22,19975
2020-11-23,50256
2020-11-24,52087
2020-11-25,49371
2020-11-26,13628
2020-11-27,31979
2020-11-28,25882
2020-11-29,19396
2020-11-30,49140
2020-12-01,51474
2020-12-02,51262
2020-12-03,51826
2020-12-04,50933
2020-12-05,27220
2020-12-06,18462
2020-12-07,45538
2020-12-08,47037
2020-12-09,47379
2020-12-10,46815
2020-12-11,45291
2020-12-12,22282
2020-12-13,13465
2020-12-14,44948
2020-12-15,46113
2020-12-16,46428
2020-12-17,45844
2020-12-18,45640
2020-12-19,23077
2020-12-20,17353
2020-12-21,43587
2020-12-22,44938
2020-12-23,43854
2020-12-24,29247
2020-12-25,8106
2020-12-26,19153
2020-12-27,15208
2020-12-28,38359
2020-12-29,40209
2020-12-30,40388
2020-12-31,33491
2021-01-01,14108
2021-01-02,18034
2021-01-03,15151
2021-01-04,38874
2021-01-05,44162
2021-01-06,42398
2021-01-07,43594
2021-01-08,42351
2021-01-09,22221
2021-01-10,15654
2021-01-11,42559
2021-01-12,44203
2021-01-13,44666
2021-01-14,44525
2021-01-15,44032
2021-01-16,23063
2021-01-17,17338
2021-01-18,25337
2021-01-19,42807
2021-01-20,42102
2021-01-21,45650
2021-01-22,42175
2021-01-23,24051
2021-01-24,13746
2021-01-25,43148
2021-01-26,42633
2021-01-27,41187
2021-01-28,41122
2021-01-29,45039
2021-01-30,23533
2021-01-31,17577
2021-02-01,44487
2021-02-02,45016
2021-02-03,47589
2021-02-04,47611
2021-02-05,47637
2021-02-06,27333
2021-02-07,18239
2021-02-08,45558
2021-02-09,47482
2021-02-10,49243
2021-02-11,45930
2021-02-12,46404
2021-02-13,25567
2021-02-14,19242
2021-02-15,23604
2021-02-16,47835
2021-02-17,48623
2021-02-18,48642
2021-02-19,46633
2021-02-20,27244
2021-02-21,19724
2021-02-22,47556
2021-02-23,49139
2021-02-24,49784
2021-02-25,50074
2021-02-26,50383
2021-02-27,28909
2021-02-28,21129
2021-03-01,49257
2021-03-02,50728
2021-03-03,52329
2021-03-04,52504
2021-03-05,51937
2021-03-06,29718
2021-03-07,21988
2021-03-08,49634
2021-03-09,49529
2021-03-10,49326
2021-03-11,52210
2021-03-12,53200
2021-03-13,29915
2021-03-14,18733
2021-03-15,48770
2021-03-16,50902
2021-03-17,51891
2021-03-18,47338
2021-03-19,51637
2021-03-20,30504
2021-03-21,23078
2021-03-22,50153
2021-03-23,52897
2021-03-24,53645
2021-03-25,54121
2021-03-26,55380
2021-03-27,32843
2021-03-28,23915
2021-03-29,51280
2021-03-30,54006
2021-03-31,54022
2021-04-01,58200
2021-04-02,56642
2021-04-03,33143
2021-04-04,22519
2021-04-05,54073
2021-04-06,57692
