station_abbr,station_name,exits_daily
EM,Embarcadero,5113
MT,Montgomery Street,5079
PL,Powell Street,4298
CC,Civic Center,3594
16,16th Street Mission,2243
24,24th Street Mission,2148
FV,Fruitvale,1934
12,12th Street / Oakland City Center,1838
BP,Balboa Park,1791
19,19th Street Oakland,1656
DC,Daly City,1600
BK,Berkeley,1597
EN,El Cerrito Del Norte,1496
MA,MacArthur,1428
OW,West Oakland,1338
SL,San Leandro,1291
CL,Coliseum,1247
LM,Lake Merritt,1222
BF,Bayfair,1184
GP,Glen Park,1091
RM,Richmond,1083
CN,Concord,1032
ED,Dublin/Pleasanton,1001
HY,Hayward,929
PH,Pleasant Hill,911
WC,Walnut Creek,866
WP,Pittsburg/Bay Point,814
SO,San Francisco International Airport,789
FM,Fremont,748
EP,El Cerrito Plaza,740
AS,Ashby,729
UC,Union City,666
CM,Colma,665
RR,Rockridge,662
MB,Millbrae,629
SH,South Hayward,609
SB,San Bruno,592
NB,North Berkeley,542
SS,South San Francisco,512
WS,Warm Springs,471
CV,Castro Valley,426
WD,West Dublin/Pleasanton,426
LF,Lafayette,415
OR,Orinda,314
NC,North Concord,266
OA,Oakland International Airport,151
