date,entries_daily
2020-12-20,763360
2020-12-21,1595887
2020-12-22,1646363
2020-12-23,1656916
2020-12-24,1258919
2020-12-25,479047
2020-12-26,806500
2020-12-27,708047
2020-12-28,1411080
2020-12-29,1462440
2020-12-30,1479989
2020-12-31,1211763
2021-01-01,592133
2021-01-02,901117
2021-01-03,615910
2021-01-04,1451952
2021-01-05,1505561
2021-01-06,1514012
2021-01-07,1503440
2021-01-08,1502100
2021-01-09,918293
2021-01-10,700700
2021-01-11,1453607
2021-01-12,1525090
2021-01-13,1528034
2021-01-14,1531051
2021-01-15,1498055
2021-01-16,924338
2021-01-17,725286
2021-01-18,1164288
2021-01-19,1519143
2021-01-20,1459253
2021-01-21,1530788
2021-01-22,1534203
2021-01-23,929595
2021-01-24,671337
2021-01-25,1465783
2021-01-26,1449288
2021-01-27,1534015
2021-01-28,1526648
2021-01-29,1391058
2021-01-30,848772
2021-01-31,656125
2021-02-01,570001
2021-02-02,883334
2021-02-03,1543603
2021-02-04,1626874
2021-02-05,1583000
2021-02-06,1025886
2021-02-07,595827
2021-02-08,1493037
2021-02-09,1529179
2021-02-10,1595719
2021-02-11,1557916
2021-02-12,1520915
2021-02-13,981045
2021-02-14,751444
2021-02-15,1098970
2021-02-16,1483719
2021-02-17,1579752
2021-02-18,1268023
2021-02-19,1388551
2021-02-20,989971
2021-02-21,744824
2021-02-22,1440432
2021-02-23,1579734
2021-02-24,1644329
2021-02-25,1640418
2021-02-26,1632260
2021-02-27,952351
2021-02-28,727583
2021-03-01,1537605
2021-03-02,1594693
2021-03-03,1672075
2021-03-04,1642897
2021-03-05,1626665
2021-03-06,1029655
2021-03-07,787686
2021-03-08,1554347
2021-03-09,1661872
2021-03-10,1687572
2021-03-11,1694544
2021-03-12,1699137
2021-03-13,1102319
2021-03-14,782308
2021-03-15,1547182
2021-03-16,1623694
2021-03-17,1666502
2021-03-18,1605323
2021-03-19,1672089
2021-03-20,1134580
2021-03-21,894782
2021-03-22,1609170
2021-03-23,1686342
2021-03-24,1663492
2021-03-25,1698855
2021-03-26,1696375
2021-03-27,1194513
2021-03-28,742985
2021-03-29,1532957
2021-03-30,1678550
2021-03-31,1628992
2021-04-01,1630153
2021-04-02,1534471
2021-04-03,1134157
2021-04-04,841226
2021-04-05,1611952
2021-04-06,1729753
2021-04-07,1766343
2021-04-08,1791169
2021-04-09,1779816
2021-04-10,1191730
2021-04-11,816752
2021-04-12,1624361
2021-04-13,1768233
2021-04-14,1797420
2021-04-15,1702571
2021-04-16,1790422
2021-04-17,1209080
2021-04-18,943444
2021-04-19,1688835
2021-04-20,1819884
2021-04-21,1760227
2021-04-22,1792707
2021-04-23,1823217
2021-04-24,1279006
2021-04-25,863973
2021-04-26,1710418
2021-04-27,1799931
2021-04-28,1862839
2021-04-29,1801281
2021-04-30,1842448
2021-05-01,1263681
2021-05-02,987304
2021-05-03,1742922
2021-05-04,1843573
2021-05-05,1816871
2021-05-06,1911152
2021-05-07,1919230
2021-05-08,1226390
2021-05-09,956485
2021-05-10,1729889
2021-05-11,1875756
2021-05-12,1900628
2021-05-13,1871337
2021-05-14,1931454
