STATION,average_entries_per_turnstile
3 AV,1699
KOSCIUSZKO ST,1681
PENNSYLVANIA AV,1677
LACKAWANNA,1590
FREEMAN ST,1543
ST LAWRENCE AV,1541
18 ST,1533
HUNTERS PT AV,1531
NEW LOTS,1525
CLASSON AV,1524
BEVERLY RD,1489
KNICKERBOCKER,1489
15 ST-PROSPECT,1483
BRIARWOOD,1481
KINGSTON AV,1478
104 ST,1473
EASTCHSTER/DYRE,1469
FOREST AVE,1467
25 AV,1465
SMITH-9 ST,1454
BROAD ST,1453
WILSON AV,1426
COURT SQ-23 ST,1423
NECK RD,1419
RIT-MANHATTAN,1418
85 ST-FOREST PK,1417
163 ST-AMSTERDM,1375
RIT-ROOSEVELT,1371
75 ST-ELDERTS,1350
80 ST,1342
238 ST,1338
DITMAS AV,1320
191 ST,1271
25 ST,1269
CENTRAL AV,1264
CLARK ST,1256
CYPRESS AV,1233
BUHRE AV,1211
SUTTER AV,1206
OCEAN PKWY,1186
74 ST-BROADWAY,1176
NEREID AV,1175
9TH STREET,1173
HOWARD BCH JFK,1173
EAST 105 ST,1166
BURKE AV,1161
INTERVALE AV,1152
NEWARK C,1150
CHAUNCEY ST,1142
HARLEM 148 ST,1138
4 AV-9 ST,1128
NORWOOD AV,1122
65 ST,1116
BEVERLEY ROAD,1111
BAYCHESTER AV,1108
LAFAYETTE AV,1105
CITY HALL,1104
SHEPHERD AV,1090
219 ST,1087
SENECA AVE,1080
CLEVELAND ST,1077
PRESIDENT ST,1072
VAN SICLEN AVE,1072
182-183 STS,1065
PATH WTC 2,1060
HEWES ST,1052
LIVONIA AV,1051
PARK PLACE,1035
LONGWOOD AV,1025
METS-WILLETS PT,1021
138/GRAND CONC,1020
225 ST,1013
EASTN PKWY-MUSM,1013
NEWARK HW BMEBE,994
BOWERY,960
AVENUE N,960
FRANKLIN ST,958
88 ST,952
LIBERTY AV,933
BEACH 67 ST,920
ALABAMA AV,905
AVENUE H,896
55 ST,880
AVENUE X,870
BAY 50 ST,856
JUNIUS ST,847
BRONX PARK EAST,843
ZEREGA AV,843
121 ST,836
39 AV,827
AVENUE P,818
75 AV,791
BEACH 60 ST,778
W 8 ST-AQUARIUM,776
WHITLOCK AV,748
BUSHWICK AV,741
MORRIS PARK,741
BEACH 25 ST,642
ATLANTIC AV,616
MIDDLETOWN RD,613
CYPRESS HILLS,574
190 ST,570
21 ST,564
6 AV,548
215 ST,524
NEPTUNE AV,459
AQUEDUCT RACETR,435
AVENUE I,430
E 143/ST MARY'S,418
BEACH 36 ST,377
BOTANIC GARDEN,367
BEACH 90 ST,331
NEWARK HM HE,294
BEACH 44 ST,290
ROCKAWAY PARK B,288
AQUEDUCT N.COND,276
TOMPKINSVILLE,237
BEACH 98 ST,150
BROAD CHANNEL,93
BEACH 105 ST,89
ORCHARD BEACH,0
